value,time
291,747.95,13:00:44
291,747.95,13:05:44
291,650.13,13:10:44
291,859.78,13:15:44
291,860.27,13:20:45
291,860.27,13:25:45
291,627.00,13:30:45
291,637.43,13:35:46
291,637.43,13:40:46
291,914.82,13:45:46
292,147.40,13:50:47
292,147.40,13:55:47
293,220.15,14:00:48
293,220.15,14:05:48
292,999.23,14:10:49
292,999.23,14:15:49
293,304.97,14:20:49
292,612.50,14:25:50
292,612.50,14:30:50
292,081.66,14:35:51
292,081.66,14:40:51
292,180.20,14:45:52
292,180.20,14:50:52
292,091.08,14:55:52
292,575.80,15:00:52
292,732.44,15:05:53
292,732.44,15:10:53
293,143.03,15:15:53
292,770.94,15:20:55
292,770.94,15:25:55
291,318.29,15:30:55
291,306.91,15:35:56
291,306.91,15:40:56
290,653.02,15:45:57
290,653.02,15:50:57
291,461.83,15:55:58
291,461.83,16:00:58
291,238.67,16:05:59
291,238.67,16:10:59
291,248.46,16:16:00
